Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C2","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.771800,-97.332800,270.000000,bottom
"C3","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.279200,-78.765400,-0.000000,bottom
"C4","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",168.148000,-91.405600,270.000000,bottom
"C5","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.321600,-77.774800,180.000000,bottom
"C6","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",164.363400,-97.984200,270.000000,bottom
"C7","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.276000,-98.145600,270.000000,bottom
"C8","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.826000,-87.350600,-0.000000,bottom
"D0","D","D_SOD-323F",33.380000,-33.553400,90.000000,bottom
"D1","D","D_SOD-323F",52.430000,-33.553400,90.000000,bottom
"D2","D","D_SOD-323F",71.480000,-33.553400,90.000000,bottom
"D3","D","D_SOD-323F",90.530000,-33.553400,90.000000,bottom
"D4","D","D_SOD-323F",111.961250,-33.553400,90.000000,bottom
"D5","D","D_SOD-323F",133.392500,-33.553400,90.000000,bottom
"D6","D","D_SOD-323F",152.442500,-33.553400,90.000000,bottom
"D7","D","D_SOD-323F",171.492500,-33.553400,90.000000,bottom
"D8","D","D_SOD-323F",190.542500,-33.553400,90.000000,bottom
"D9","D","D_SOD-323F",209.592500,-33.553400,90.000000,bottom
"D10","D","D_SOD-323F",228.642500,-33.553400,90.000000,bottom
"D11","D","D_SOD-323F",247.692500,-33.553400,90.000000,bottom
"D12","D","D_SOD-323F",266.742500,-33.553400,90.000000,bottom
"D13","D","D_SOD-323F",285.792500,-33.553400,90.000000,bottom
"D14","D","D_SOD-323F",304.842500,-33.553400,90.000000,bottom
"D15","D","D_SOD-323F",323.892500,-33.553400,90.000000,bottom
"D16","D","D_SOD-323F",342.942500,-33.553400,90.000000,bottom
"D17","D","D_SOD-323F",361.992500,-33.655000,90.000000,bottom
"D18","D","D_SOD-323F",33.354600,-52.603400,90.000000,bottom
"D19","D","D_SOD-323F",52.404600,-52.603400,90.000000,bottom
"D20","D","D_SOD-323F",71.454600,-52.603400,90.000000,bottom
"D21","D","D_SOD-323F",90.504600,-52.603400,90.000000,bottom
"D22","D","D_SOD-323F",114.342500,-52.603400,90.000000,bottom
"D23","D","D_SOD-323F",138.155000,-52.603400,90.000000,bottom
"D24","D","D_SOD-323F",157.205000,-52.603400,90.000000,bottom
"D25","D","D_SOD-323F",176.255000,-52.603400,90.000000,bottom
"D26","D","D_SOD-323F",195.305000,-52.603400,90.000000,bottom
"D27","D","D_SOD-323F",214.355000,-52.603400,90.000000,bottom
"D28","D","D_SOD-323F",233.405000,-52.603400,90.000000,bottom
"D29","D","D_SOD-323F",252.455000,-52.603400,90.000000,bottom
"D30","D","D_SOD-323F",271.505000,-52.603400,90.000000,bottom
"D31","D","D_SOD-323F",290.555000,-52.603400,90.000000,bottom
"D32","D","D_SOD-323F",309.605000,-52.603400,90.000000,bottom
"D33","D","D_SOD-323F",328.655000,-52.603400,90.000000,bottom
"D34","D","D_SOD-323F",354.848750,-52.603400,90.000000,bottom
